"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count"
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",accessors-smart-1.1.jar,/src/.m2/repository/net/minidev/accessors-smart/1.1/accessors-smart-1.1.jar,"Java reflect give poor performance on getter setter an constructor calls, accessors-smart use ASM to speed up those calls.",http://www.apache.org/licenses/LICENSE-2.0.txt,b75cda0d7dadff9e6c20f4e7f3c3bc82,a527213f2fea112a04c9bdf0ec0264e34104cd08,pkg:maven/net.minidev/accessors-smart@1.1,"cpe:2.3:a:json-smart_project:json-smart-v1:1.1:*:*:*:*:*:*:*, cpe:2.3:a:json_smart_project:json_smart:1.1:*:*:*:*:*:*:*",CVE-2021-27568,CWE-754 Improper Check for Unusual or Exceptional Conditions,"An issue was discovered in netplex json-smart-v1 through 2015-10-23 and json-smart-v2 through 2.4. An exception is thrown from a function, but it is not caught, as demonstrated by NumberFormatException. When it is not caught, it may cause programs using the library to crash or expose sensitive information.",NVD,MEDIUM,6.4,/AV:N/AC:L/Au:N/C:P/I:N/A:P,CRITICAL,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,HIGH,25
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",ant-1.7.0.jar,/src/.m2/repository/org/apache/ant/ant/1.7.0/ant-1.7.0.jar,Apache Ant,"",133e8979e9c11450f557ca890177fe0a,9746af1a485e50cf18dcb232489032a847067066,pkg:maven/org.apache.ant/ant@1.7.0,cpe:2.3:a:apache:ant:1.7.0:*:*:*:*:*:*:*,CVE-2020-1945,CWE-668 Exposure of Resource to Wrong Sphere,Apache Ant 1.1 to 1.9.14 and 1.10.0 to 1.10.7 uses the default temporary directory identified by the Java system property java.io.tmpdir for several tasks and may thus leak sensitive information. The fixcrlf and replaceregexp tasks also copy files from the temporary directory back into the build tree allowing an attacker to inject modified source files into the build process.,NVD,LOW,3.3,/AV:L/AC:M/Au:N/C:P/I:P/A:N,MEDIUM,6.3,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:N,HIGH,22
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",cassandra-all-3.11.0.jar,/src/.m2/repository/org/apache/cassandra/cassandra-all/3.11.0/cassandra-all-3.11.0.jar,"The Apache Cassandra Project develops a highly scalable second-generation distributed database, bringing together Dynamo's fully distributed design and Bigtable's ColumnFamily-based data model.","The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",a44f48fc860b820de595ff122f121cee,b7889965b9500014d787af7c765c9a32f18b0a1d,pkg:maven/org.apache.cassandra/cassandra-all@3.11.0,cpe:2.3:a:apache:cassandra:3.11.0:*:*:*:*:*:*:*,CVE-2018-8016,CWE-306 Missing Authentication for Critical Function,"The default configuration in Apache Cassandra 3.8 through 3.11.1 binds an unauthenticated JMX/RMI interface to all network interfaces, which allows remote attackers to execute arbitrary Java code via an RMI request. This issue is a regression of CVE-2015-0225. The regression was introduced in https://issues.apache.org/jira/browse/CASSANDRA-12109. The fix for the regression is implemented in https://issues.apache.org/jira/browse/CASSANDRA-14173. This fix is contained in the 3.11.2 release of Apache Cassandra.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,21
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",cassandra-all-3.11.0.jar,/src/.m2/repository/org/apache/cassandra/cassandra-all/3.11.0/cassandra-all-3.11.0.jar,"The Apache Cassandra Project develops a highly scalable second-generation distributed database, bringing together Dynamo's fully distributed design and Bigtable's ColumnFamily-based data model.","The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",a44f48fc860b820de595ff122f121cee,b7889965b9500014d787af7c765c9a32f18b0a1d,pkg:maven/org.apache.cassandra/cassandra-all@3.11.0,cpe:2.3:a:apache:cassandra:3.11.0:*:*:*:*:*:*:*,CVE-2020-13946,CWE-668 Exposure of Resource to Wrong Sphere,"In Apache Cassandra, all versions prior to 2.1.22, 2.2.18, 3.0.22, 3.11.8 and 4.0-beta2, it is possible for a local attacker without access to the Apache Cassandra process or configuration files to manipulate the RMI registry to perform a man-in-the-middle attack and capture user names and passwords used to access the JMX interface. The attacker can then use these credentials to access the JMX interface and perform unauthorised operations. Users should also be aware of CVE-2019-2684, a JRE vulnerability that enables this issue to be exploited remotely.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:P/I:N/A:N,MEDIUM,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,HIGH,21
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",cassandra-all-3.11.0.jar,/src/.m2/repository/org/apache/cassandra/cassandra-all/3.11.0/cassandra-all-3.11.0.jar,"The Apache Cassandra Project develops a highly scalable second-generation distributed database, bringing together Dynamo's fully distributed design and Bigtable's ColumnFamily-based data model.","The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",a44f48fc860b820de595ff122f121cee,b7889965b9500014d787af7c765c9a32f18b0a1d,pkg:maven/org.apache.cassandra/cassandra-all@3.11.0,cpe:2.3:a:apache:cassandra:3.11.0:*:*:*:*:*:*:*,CVE-2020-17516,CWE-290 Authentication Bypass by Spoofing,"Apache Cassandra versions 2.1.0 to 2.1.22, 2.2.0 to 2.2.19, 3.0.0 to 3.0.23, and 3.11.0 to 3.11.9, when using 'dc' or 'rack' internode_encryption setting, allows both encrypted and unencrypted internode connections. A misconfigured node or a malicious user can use the unencrypted connection despite not being in the same rack or dc, and bypass mutual TLS requirement.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:P/I:N/A:N,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,HIGH,21
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",commons-compress-1.9.jar,/src/.m2/repository/org/apache/commons/commons-compress/1.9/commons-compress-1.9.jar,"Apache Commons Compress software defines an API for working with compression and archive formats. These include: bzip2, gzip, pack200, lzma, xz, Snappy, traditional Unix Compress, DEFLATE and ar, cpio, jar, tar, zip, dump, 7z, arj.",http://www.apache.org/licenses/LICENSE-2.0.txt,6c9ce8534b9e4c17e5dea7a97425245c,cc18955ff1e36d5abd39a14bfe82b19154330a34,pkg:maven/org.apache.commons/commons-compress@1.9,"cpe:2.3:a:apache:commons-compress:1.9:*:*:*:*:*:*:*, cpe:2.3:a:apache:commons_compress:1.9:*:*:*:*:*:*:*",CVE-2018-11771,CWE-835 Loop with Unreachable Exit Condition ('Infinite Loop'),"When reading a specially crafted ZIP archive, the read method of Apache Commons Compress 1.7 to 1.17's ZipArchiveInputStream can fail to return the correct EOF indication after the end of the stream has been reached. When combined with a java.io.InputStreamReader this can lead to an infinite stream, which can be used to mount a denial of service attack against services that use Compress' zip package.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:N/A:P,MEDIUM,5.5,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,HIGH,36
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",commons-compress-1.9.jar,/src/.m2/repository/org/apache/commons/commons-compress/1.9/commons-compress-1.9.jar,"Apache Commons Compress software defines an API for working with compression and archive formats. These include: bzip2, gzip, pack200, lzma, xz, Snappy, traditional Unix Compress, DEFLATE and ar, cpio, jar, tar, zip, dump, 7z, arj.",http://www.apache.org/licenses/LICENSE-2.0.txt,6c9ce8534b9e4c17e5dea7a97425245c,cc18955ff1e36d5abd39a14bfe82b19154330a34,pkg:maven/org.apache.commons/commons-compress@1.9,"cpe:2.3:a:apache:commons-compress:1.9:*:*:*:*:*:*:*, cpe:2.3:a:apache:commons_compress:1.9:*:*:*:*:*:*:*",CVE-2021-35515,CWE-834 Excessive Iteration,"When reading a specially crafted 7Z archive, the construction of the list of codecs that decompress an entry can result in an infinite loop. This could be used to mount a denial of service attack against services that use Compress' sevenz package.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,36
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",commons-compress-1.9.jar,/src/.m2/repository/org/apache/commons/commons-compress/1.9/commons-compress-1.9.jar,"Apache Commons Compress software defines an API for working with compression and archive formats. These include: bzip2, gzip, pack200, lzma, xz, Snappy, traditional Unix Compress, DEFLATE and ar, cpio, jar, tar, zip, dump, 7z, arj.",http://www.apache.org/licenses/LICENSE-2.0.txt,6c9ce8534b9e4c17e5dea7a97425245c,cc18955ff1e36d5abd39a14bfe82b19154330a34,pkg:maven/org.apache.commons/commons-compress@1.9,"cpe:2.3:a:apache:commons-compress:1.9:*:*:*:*:*:*:*, cpe:2.3:a:apache:commons_compress:1.9:*:*:*:*:*:*:*",CVE-2021-35516,NVD-CWE-Other,"When reading a specially crafted 7Z archive, Compress can be made to allocate large amounts of memory that finally leads to an out of memory error even for very small inputs. This could be used to mount a denial of service attack against services that use Compress' sevenz package.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,36
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",commons-compress-1.9.jar,/src/.m2/repository/org/apache/commons/commons-compress/1.9/commons-compress-1.9.jar,"Apache Commons Compress software defines an API for working with compression and archive formats. These include: bzip2, gzip, pack200, lzma, xz, Snappy, traditional Unix Compress, DEFLATE and ar, cpio, jar, tar, zip, dump, 7z, arj.",http://www.apache.org/licenses/LICENSE-2.0.txt,6c9ce8534b9e4c17e5dea7a97425245c,cc18955ff1e36d5abd39a14bfe82b19154330a34,pkg:maven/org.apache.commons/commons-compress@1.9,"cpe:2.3:a:apache:commons-compress:1.9:*:*:*:*:*:*:*, cpe:2.3:a:apache:commons_compress:1.9:*:*:*:*:*:*:*",CVE-2021-35517,NVD-CWE-Other,"When reading a specially crafted TAR archive, Compress can be made to allocate large amounts of memory that finally leads to an out of memory error even for very small inputs. This could be used to mount a denial of service attack against services that use Compress' tar package.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,36
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 17:22:16 GMT",commons-compress-1.9.jar,/src/.m2/repository/org/apache/commons/commons-compress/1.9/commons-compress-1.9.jar,"Apache Commons Compress software defines an API for working with compression and archive formats. These include: bzip2, gzip, pack200, lzma, xz, Snappy, traditional Unix Compress, DEFLATE and ar, cpio, jar, tar, zip, dump, 7z, arj.",http://www.apache.org/licenses/LICENSE-2.0.txt,6c9ce8534b9e4c17e5dea7a97425245c,cc18955ff1e36d5abd39a14bfe82b19154330a34,pkg:maven/org.apache.commons/commons-compress@1.9,"cpe:2.3:a:apache:commons-compress:1.9:*:*:*:*:*:*:*, cpe:2.3:a:apache:commons_compress:1.9:*:*:*:*:*:*:*",CVE-2021-36090,NVD-CWE-Other,"When reading a specially crafted ZIP archive, Compress can be made to allocate large amounts of memory that finally leads to an out of memory error even for very small inputs. This could be used to mount a denial of service attack against services that use Compress' zip package.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,36
